NAME,PRICE,IMAGE,DETAILS,STOCK
"KONO Delight ART II 400 Film (35mm Roll Film, 36 Exposures)",23.99,https://static.bhphoto.com/images/images345x345/1692727524_1774814.jpg,"Color Tinted 35mm Film,ISO 400/27° in C-41 Process,Fine Grain Structure,Experimental, Creative Application Film",In Stock
"KONO Delight Art 100 Color Negative Film (35mm Roll Film, 36 Exposures)",24.99,https://static.bhphoto.com/images/images345x345/1644340867_1664460.jpg,"Color Tinted Color Negative Film,ISO 100/21° in C-41 Process,Fine Grain Structure,Experimental, Creative Application Film",In Stock
"Rollei Superpan 200 Black and White Negative Film (35mm Roll Film, 100' Roll)",99.99,https://static.bhphoto.com/images/images345x345/1499943984_1349025.jpg,"Panchromatic B&W Negative Film,ISO 200/24° in Standard Process,Very Fine Grain and High Sharpness,Wide Exposure Latitudes",Special Order
"Rollei Infrared 400 Black and White Negative Film (35mm Roll Film, 100')",109.99,https://static.bhphoto.com/images/images345x345/1499943984_1349023.jpg,"IR-Sensitive Panchromatic B&W Neg. Film,ISO 400/27° without Filtration,650-750nm Infrared Sensitivity Range,Very Wide Exposure Latitude",In Stock
"Rollei RPX 400 Black and White Negative Film (35mm Roll Film, 100' Roll)",114.99,https://static.bhphoto.com/images/images345x345/1499943984_1349020.jpg,"Panchromatic B&W Negative Film,ISO 400/27° in Standard Process,Fine Grain and Sharpness,Broad Tonal and Contrast Range",In Stock
"Ilford Pan F Plus Black and White Negative Film (35mm Roll Film, 100' Roll)",144.95,https://static.bhphoto.com/images/images345x345/1321267314_25308.jpg,"Panchromatic B&W Negative Film,ISO 50/18° in Standard Process,Very Fine Grain and Resolution,Wide Tonal Range and High Edge Contrast",In Stock
"Kodak Professional T-Max 100 Black and White Negative Film (35mm Roll Film, 100' Roll)",159.95,https://static.bhphoto.com/images/images345x345/1533832637_29118.jpg,"Panchromatic B&W Negative Film,ISO 100/21° in Standard Process,Very Fine Grain, T-GRAIN Emulsion,High Sharpness and Resolving Power",In Stock
"Flic Film Wolfen 100 Cine Film (35mm Roll Film, 36 Exposures)",8.49,https://static.bhphoto.com/images/images345x345/1663083366_1720919.jpg,"Panchromatic B&W Negative Film,ISO 100/21° in Standard Process,Medium to Low Grain,Wide Tonal Range",In Stock
"Film Photography Project Film Love 200 Black and White Negative Film (35mm Roll Film, 24 Exposures)",10.99,https://static.bhphoto.com/images/images345x345/1638969757_1671639.jpg,"Panchromatic B&W Negative Film,Surveillance Film,ISO 200/24° in Standard Process,Wide Latitude",In Stock
"Film Photography Project Let It Snow Black and White Negative Film (35mm Roll Film, 24 Exposures)",10.99,https://static.bhphoto.com/images/images345x345/1621850763_1620908.jpg,"B&W Negative Film,Very Fine Grain,High Sharpness,ISO 100/21° in Standard Process",In Stock
